"","genes","res"
"540","ZSCAN5A","r25_r26"
"541","PPP1R42","r25_r26"
"542","BCL2L11","r25_r26"
"543","C20orf85","r25_r26"
"544","DNAAF3","r25_r26"
"545","DTHD1","r25_r26"
"546","PPP1R26-AS1","r25_r26"
"547","C4orf22","r25_r26"
"548","CC2D2A","r25_r26"
"549","CDKN2A","r25_r26"
"550","CCDC81","r25_r26"
"551","VSIG10L","r25_r26"
"552","LINC01250","r25_r26"
"553","LOC100129175","r25_r26"
"554","ARMC9","r25_r26"
"555","LINC00492","r25_r26"
"556","ASAH1","r25_r26"
"557","SLFN13","r25_r26"
"558","CALB1","r25_r26"
"559","LOC200772","r25_r26"
"560","ZC3HAV1L","r25_r26"
"561","DNAH17","r25_r26"
"562","C9orf116","r25_r26"
"563","IL7R","r25_r26"
"564","SNTN","r25_r26"
"565","SPP1","r25_r26"
"566","SCCPDH","r25_r26"
"567","CCDC60","r25_r26"
"568","MOK","r25_r26"
"569","PRR18","r25_r26"
"570","MEGF9","r25_r26"
"571","EFHC2","r25_r26"
"572","FMO6P","r25_r26"
"573","LOC440895","r25_r26"
"574","LOC100288570","r25_r26"
"575","C2orf70","r25_r26"
"576","CALHM3","r25_r26"
"577","FAM104B","r25_r26"
"578","DPCD","r25_r26"
"579","CES4A","r25_r26"
"580","LOC100506844","r25_r26"
"581","RPL23AP87","r25_r26"
"582","MPDZ","r25_r26"
"583","MORN3","r25_r26"
"584","ATP11A","r25_r26"
"585","IFT46","r25_r26"
"586","RABL2B","r25_r26"
"587","AKAP14","r25_r26"
"588","BTG4","r25_r26"
"589","NME5","r25_r26"
"590","MS4A14","r25_r26"
"591","TBX3","r25_r26"
"592","CEACAM16","r25_r26"
"593","IZUMO1","r25_r26"
"594","DNAH12","r25_r26"
"595","TAC1","r25_r26"
"596","C9orf135","r25_r26"
"597","USP2-AS1","r25_r26"
"598","LINC00887","r25_r26"
"599","SLC4A8","r25_r26"
"600","ZNF114","r25_r26"
"601","ANKRD66","r25_r26"
"602","RP1","r25_r26"
"603","TPTE2P3","r25_r26"
"604","FAM179A","r25_r26"
"605","C6orf165","r25_r26"
"606","CIPC","r25_r26"
"607","LOC646903","r25_r26"
"608","ZSCAN12P1","r25_r26"
"609","LPL","r25_r26"
"610","CLDN17","r25_r26"
"611","PLEKHM1P","r25_r26"
"612","HEPH","r25_r26"
"613","LBR","r25_r26"
"614","ANKRD34B","r25_r26"
"615","PRR29","r25_r26"
"616","TULP3","r25_r26"
"617","LRRC46","r25_r26"
"618","EFHB","r25_r26"
"619","PRDM5","r25_r26"
"620","KNDC1","r25_r26"
"621","ZEB2-AS1","r25_r26"
"622","HRH1","r25_r26"
"623","MARCH10","r25_r26"
"624","HCG14","r25_r26"
"625","LRP2BP","r25_r26"
"626","C1orf87","r25_r26"
"627","BICC1","r25_r26"
"628","CFAP46","r25_r26"
"629","CYP4F3","r25_r26"
"630","RUVBL1","r25_r26"
"631","E2F3","r25_r26"
"632","WDR86-AS1","r25_r26"
"633","C17orf97","r25_r26"
"634","DYDC2","r25_r26"
"635","CFAP43","r25_r26"
"636","NRXN3","r25_r26"
"637","FAM47E-STBD1","r25_r26"
"638","LINC01600","r25_r26"
"639","RGL4","r25_r26"
"640","LINC00882","r25_r26"
"641","HBD","r25_r26"
"642","EGFLAM","r25_r26"
"643","RGS22","r25_r26"
"644","NEK10","r25_r26"
"645","CCDC170","r25_r26"
"646","ANKFN1","r25_r26"
"647","FAM182B","r25_r26"
"648","HPSE","r25_r26"
"649","IFT22","r25_r26"
"650","WDR54","r25_r26"
"651","ENO4","r25_r26"
"652","DERL3","r25_r26"
"653","APOBEC4","r25_r26"
"654","LRRC36","r25_r26"
"655","DUSP18","r25_r26"
"656","CLDN18","r25_r26"
"657","C10orf107","r25_r26"
"658","C11orf88","r25_r26"
"659","DLEC1","r25_r26"
"660","TEX26","r25_r26"
"661","PROL1","r25"
"662","MYH1","r25"
"663","HTR1B","r25"
"664","DSC2","r25"
"665","TGM5","r25"
"666","SLAMF7","r25"
"667","XKR3","r25"
"668","FCGR1C","r25"
"669","ANKRD22","r25"
"670","CD300E","r25"
"671","PRRT3","r25"
"672","C4orf32","r25"
"673","CCL2","r25"
"674","IFIT3","r25"
"675","C10orf99","r25"
"676","MBOAT2","r25"
"677","OR10H1","r25"
"678","CASP1","r25"
"679","MPEG1","r25"
"680","LOC441178","r25"
"681","CLCA4","r25"
"682","KRT14","r25"
"683","SAMD9L","r25"
"684","LINC01587","r25"
"685","TMPRSS11B","r25"
"686","GDNF","r25"
"687","BLNK","r25"
"688","DSG3","r25"
"689","ACE2","r25"
"690","LIPM","r25"
"691","ENDOU","r25"
"692","SERPINA11","r25"
"693","HN1L","r25"
"694","DSC3","r25"
"695","SHISA8","r25"
"696","LMOD2","r25"
"697","PPP1R16B","r25"
"698","KIAA1462","r25"
"699","SLC40A1","r25"
"700","SCUBE2","r25"
"701","CRAT37","r25"
"702","MARCH1","r25"
"703","MCOLN2","r25"
"704","MS4A6A","r25"
"705","ZBP1","r25"
"706","RDH12","r25"
"707","PI15","r25"
"708","CXorf36","r25"
"709","SRD5A3","r25"
"710","PDGFRB","r25"
"711","LKAAEAR1","r25"
"712","LINC00888","r25"
"713","ANKRD36","r25"
"714","CYSLTR1","r25"
"715","IRF1","r25"
"716","TPSB2","r25"
"717","FAM105A","r25"
"718","HCG22","r25"
"719","CXorf65","r25"
"720","TRANK1","r25"
"721","LILRB4","r25"
"722","OLFM4","r25"
"723","SLC1A3","r25"
"724","GREM1","r25"
"725","HSPA6","r25"
"726","TUBA3FP","r25"
"727","MARCKS","r25"
"728","ZNF292","r25"
"729","BEAN1","r25"
"730","HIF3A","r25"
"731","FAM49A","r25"
"732","APLNR","r25"
"733","RPL21P44","r25"
"734","LIPN","r25"
"735","TPSAB1","r25"
