"","x"
"1074","MIR27A"
"1075","LINC01094"
"1076","NR2F2"
"1077","C11orf16"
"1078","FBXO32"
"1079","PHF7"
"1080","ZNF674"
"1081","RLIM"
"1082","COL28A1"
"1083","CDC42SE1"
"1084","ST6GALNAC2"
"1085","CSF2RB"
"1086","SSTR3"
"1087","ZNF131"
"1088","EDN1"
"1089","LZTS1"
"1090","PKHD1L1"
"1091","HIST2H4B"
"1092","HIST2H4A"
"1093","GALNT1"
"1094","CA1"
"1095","RPLP0P2"
"1096","BCL6"
"1097","NEK7"
"1098","MSN"
"1099","NLRP6"
"1100","ADGRL1"
"1101","ATXN7"
"1102","LOC105375734"
"1103","PACERR"
"1104","BBS9"
"1105","MIR6753"
"1106","C17orf58"
"1107","MYO7B"
"1108","CCDC138"
"1109","PRLR"
"1110","BTN3A1"
"1111","TAGAP"
"1112","ABTB2"
"1113","SNORA16A"
"1114","SPACA6P"
"1115","SHOC2"
"1116","NRSN2-AS1"
"1117","MANBA"
"1118","CCDC88B"
"1119","MIR7847"
"1120","SUZ12P1"
"1121","ESCO1"
"1122","TMEM140"
"1123","FAM180A"
"1124","IER5"
"1125","PPT1"
"1126","CECR6"
"1127","WDFY3"
"1128","C16orf45"
"1129","UBXN11"
"1130","LINC00472"
"1131","NOD2"
"1132","LOC100507140"
"1133","SIPA1L2"
"1134","LOC730202"
"1135","ZBTB11"
"1136","CHML"
"1137","VASN"
"1138","PPP3CA"
"1139","IL22RA1"
"1140","MARCH8"
"1141","STX3"
"1142","SLC7A1"
"1143","ARHGAP27"
"1144","ETS2"
"1145","EP300-AS1"
"1146","TNFSF10"
"1147","TRIM40"
"1148","RASA1"
"1149","LOC101928844"
"1150","SENP7"
"1151","TMEM176B"
"1152","HSDL2"
"1153","WBP5"
"1154","CACNB1"
"1155","JUNB"
"1156","SUMO1P1"
"1157","GPX7"
"1158","KCNK7"
"1159","NIN"
"1160","PTX3"
"1161","PHF11"
"1162","UBAP1"
"1163","NTNG2"
"1164","CAMK2G"
"1165","GPR162"
"1166","LCE6A"
"1167","CACNA1C-AS1"
"1168","OPRM1"
"1169","SMOC2"
"1170","FAM95C"
"1171","BCL3"
"1172","STEAP3-AS1"
"1173","EPPIN-WFDC6"
"1174","SLCO4A1"
"1175","LOC644936"
"1176","ATP8A1"
"1177","TBL1X"
"1178","RFWD2"
"1179","LIG3"
"1180","CHST9"
"1181","ACTR2"
"1182","TMEM165"
"1183","IL15"
"1184","OLR1"
"1185","RNF44"
"1186","PHF3"
"1187","RAP1GAP2"
"1188","LRRC27"
"1189","FAM84B"
"1190","TPR"
"1191","SNORA70G"
"1192","LINC01220"
"1193","ITGAL"
"1194","YPEL2"
"1195","LMO7DN"
"1196","CAP1"
"1197","RAB27A"
"1198","ABCC6"
"1199","TPGS2"
"1200","ZNF599"
"1201","SLC11A1"
"1202","TOP1"
"1203","TFAP2C"
"1204","APCDD1L"
"1205","HRH2"
"1206","EPB41"
"1207","ST3GAL4-AS1"
"1208","OTULIN"
"1209","TPP1"
"1210","TNFAIP8L2"
"1211","PREX1"
"1212","EMCN"
"1213","FOS"
"1214","ENPP5"
"1215","PPOX"
"1216","CHD2"
"1217","GJB2"
"1218","GMIP"
"1219","ITGB2"
"1220","ACTR3B"
"1221","MEX3B"
"1222","PPAPDC1B"
"1223","AIF1L"
"1224","DGAT2"
"1225","C1orf52"
"1226","CST7"
"1227","GRAMD1B"
"1228","DOK6"
"1229","UBD"
"1230","VGLL3"
"1231","NBPF25P"
"1232","SPRR2A"
"1233","CSN1S1"
"1234","RAB39A"
"1235","BCO1"
"1236","GOLGA2P7"
"1237","PIK3R5"
"1238","LOC101928514"
"1239","PTGER2"
"1240","C1orf27"
"1241","PYGL"
"1242","ADSSL1"
"1243","WDPCP"
"1244","TREML1"
"1245","H3F3B"
"1246","SLC26A9"
"1247","ENKUR"
"1248","TMEM33"
"1249","CLDN22"
"1250","ZNF394"
"1251","C15orf52"
"1252","CLDN14"
"1253","PTPN13"
"1254","BICD1"
"1255","PPM1D"
"1256","BMP2"
"1257","SIK1"
"1258","MIR3687-1"
"1259","MIR3687-2"
"1260","FLG"
"1261","FRMD6"
"1262","TMCO4"
"1263","FLT1"
"1264","CMTM2"
"1265","KCNJ12"
"1266","MIR4315-1"
"1267","MIR4315-2"
"1268","PINLYP"
"1269","SPACA6P-AS"
"1270","ZNF274"
"1271","ERI1"
"1272","KLHDC9"
"1273","SHQ1"
"1274","ADIPOQ-AS1"
"1275","LOC101929709"
"1276","DAPP1"
"1277","B4GALT5"
"1278","HIVEP2"
"1279","CD3EAP"
"1280","MAPK14"
"1281","SLC7A2"
"1282","CD300A"
"1283","PVRL4"
"1284","MIR6891"
"1285","CATSPERD"
"1286","TMEM167B"
"1287","SPI1"
"1288","IFT43"
"1289","IL27"
"1290","PDE6A"
"1291","MGC34796"
"1292","CERKL"
"1293","ROBO2"
"1294","MOB3B"
"1295","LOC102503427"
"1296","SCGB2A2"
"1297","CORO1A"
"1298","ABO"
"1299","ARHGEF40"
"1300","MIR612"
"1301","FANCA"
"1302","TRAF3IP1"
"1303","CES1P1"
"1304","GOLGA4"
"1305","PDZD8"
"1306","LINC00423"
"1307","DLEU2"
"1308","COL6A3"
"1309","MBNL1"
"1310","PILRA"
"1311","WDFY4"
"1312","DIP2B"
"1313","IGFBP6"
"1314","LOC285074"
"1315","LOC100289473"
"1316","LOC101927543"
"1317","ANGPTL1"
"1318","BZW1"
"1319","KDELR3"
"1320","HYMAI"
"1321","HNRNPH2"
"1322","STARD9"
"1323","NCOA3"
"1324","ZNF287"
"1325","LONRF1"
"1326","P2RX6"
"1327","LOC643072"
"1328","TCP11L2"
"1329","KATNAL1"
"1330","CXCR1"
"1331","LINC00310"
"1332","TAF7"
"1333","CDKL5"
"1334","ZMYM5"
"1335","TRIM69"
"1336","LOC101929767"
"1337","EPHX3"
"1338","HECW2"
"1339","ZNFX1"
"1340","RAF1"
"1341","LOC401286"
"1342","GIMAP8"
"1343","ZFAND5"
"1344","ZFC3H1"
"1345","TICAM1"
"1346","OASL"
"1347","PPP4R3A"
