"","genes","modules"
"630","MIR4256","brown"
"631","WNT2B","pink"
"632","ST7L","brown"
"633","CAPZA1","brown"
"634","SLC16A1","brown"
"635","SLC16A1-AS1","brown"
"636","LOC100996251","brown"
"637","LRIG2","grey60"
"638","LOC643441","brown"
"639","MAGI3","brown"
"640","PHTF1","brown"
"641","RSBN1","brown"
"642","AP4B1-AS1","brown"
"643","PTPN22","brown"
"644","BCL2L15","grey60"
"645","AP4B1","brown"
"646","HIPK1-AS1","brown"
"647","HIPK1","grey60"
"648","TRIM33","brown"
"649","BCAS2","brown"
"650","DENND2C","brown"
"651","AMPD1","brown"
"652","NRAS","grey60"
"653","CSDE1","brown"
"654","SIKE1","brown"
"655","TSPAN2","brown"
"656","VANGL1","grey60"
"657","CASQ2","antiquewhite4"
"658","LOC101928995","grey60"
"659","LOC101928977","grey60"
"660","SLC22A15","brown"
"661","MAB21L3","cyan"
"662","LOC101929023","brown"
"663","CD58","brown"
"664","IGSF3","grey60"
"665","C1orf137","pink"
"666","CD2","steelblue"
"667","PTGFRN","grey60"
"668","CD101","brown"
"669","LOC101929099","brown"
"670","TTF2","brown"
"671","TRIM45","grey60"
"672","VTCN1","brown"
"673","MAN1A2","brown"
"674","GDAP2","brown"
"675","WDR3","brown"
"676","WARS2","brown"
"677","LOC101929147","grey60"
"678","HSD3B2","coral1"
"679","HSD3BP4","blue"
"680","LINC00622","coral1"
"681","ZNF697","grey60"
"682","REG4","antiquewhite4"
"683","NBPF7","blue"
"684","ADAM30","blue"
"685","NOTCH2","grey60"
"686","FAM72B","grey60"
"687","HIST2H2BA","grey60"
"688","FCGR1B","blue"
"689","SRGAP2B","grey60"
"690","SRGAP2D","grey60"
"691","EMBP1","grey60"
"692","ANKRD20A12P","brown"
"693","LOC102723769","grey60"
"694","MIR6077","plum2"
"695","LOC100132057","grey60"
"696","NBPF20","grey60"
"697","PFN1P2","grey60"
"698","NBPF9","grey60"
"699","NBPF8","grey60"
"700","PDE4DIP","grey60"
"701","SEC22B","brown"
"702","NOTCH2NL","brown"
"703","NBPF25P","grey60"
"704","NBPF10","grey60"
"705","HFE2","antiquewhite4"
"706","TXNIP","brown"
"707","LIX1L","grey60"
"708","RBM8A","brown"
"709","GNRHR2","grey60"
"710","ITGA10","grey60"
"711","ANKRD35","grey60"
"712","MIR6736","grey60"
"713","POLR3C","brown"
"714","RNF115","grey60"
"715","CD160","grey60"
"716","PDZK1","grey60"
"717","GPR89A","grey60"
"718","PDZK1P1","grey60"
"719","NBPF11","grey60"
"720","NBPF12","grey60"
"721","LOC728989","grey60"
"722","PRKAB2","grey60"
"723","PDIA3P1","grey60"
"724","FMO5","brown"
"725","CHD1L","grey60"
"726","LINC00624","cyan"
"727","GJA8","blue"
"728","GPR89B","grey60"
"729","PPIAL4F","brown"
"730","PPIAL4D","brown"
"731","PPIAL4E","brown"
"732","NBPF14","grey60"
"733","NBPF15","grey60"
"734","LOC101060524","blue"
"735","DRD5P2","blue"
"736","LOC388692","grey60"
"737","FAM231D","grey60"
"738","RNVU1-20","pink"
"739","HIST2H2BF","grey60"
"740","FCGR1A","blue"
"741","HIST2H2BC","grey60"
"742","SV2A","blue"
"743","OTUD7B","grey60"
"744","VPS45","brown"
"745","ANP32E","brown"
"746","CA14","grey60"
"747","C1orf54","brown"
"748","PRPF3","brown"
"749","RPRD2","brown"
"750","MIR6878","grey60"
"751","ECM1","blue"
"752","FALEC","pink"
"753","ADAMTSL4-AS1","blue"
"754","MCL1","blue"
"755","GOLPH3L","brown"
"756","HORMAD1","brown"
"757","CTSS","brown"
"758","CTSK","grey60"
"759","ARNT","grey60"
"760","SETDB1","grey60"
"761","ANXA9","blue"
"762","BNIPL","grey60"
"763","GABPB2","brown"
"764","SEMA6C","grey60"
"765","TMOD4","pink"
"766","PIP5K1A","grey60"
"767","RFX5","grey60"
"768","POGZ","grey60"
"769","CGN","grey60"
"770","MIR554","blue"
"771","SNX27","brown"
"772","CELF3","brown"
"773","TDRKH","brown"
"774","LOC100132111","brown"
"775","THEM5","grey60"
"776","THEM4","brown"
"777","TCHHL1","pink"
"778","TCHH","blue"
"779","RPTN","blue"
"780","HRNR","skyblue"
"781","FLG","skyblue"
"782","FLG-AS1","skyblue"
"783","FLG2","skyblue"
"784","CRNN","blue"
"785","LCE5A","skyblue"
"786","CRCT1","pink"
"787","LCE3E","pink"
"788","LCE3D","pink"
"789","LCE3C","skyblue"
"790","LCE3B","pink"
"791","LCE3A","pink"
"792","LCE2D","skyblue"
"793","LCE2C","skyblue"
"794","LCE2B","skyblue"
"795","LCE2A","skyblue"
"796","LCE4A","skyblue"
"797","C1orf68","skyblue"
"798","KPRP","skyblue"
"799","LCE1F","skyblue"
"800","LCE1E","skyblue"
"801","LCE1D","skyblue"
"802","LCE1C","skyblue"
"803","LCE1B","skyblue"
"804","LCE1A","skyblue"
"805","LCE6A","skyblue"
"806","SMCP","blue"
"807","IVL","blue"
"808","SPRR4","pink"
"809","SPRR1A","pink"
"810","SPRR3","blue"
"811","SPRR1B","pink"
"812","SPRR2D","pink"
"813","SPRR2A","blue"
"814","SPRR2B","pink"
"815","SPRR2E","pink"
"816","SPRR2F","pink"
"817","SPRR2C","pink"
"818","SPRR2G","skyblue"
"819","LOC101928009","skyblue"
"820","LELP1","antiquewhite4"
"821","PRR9","pink"
"822","LOR","skyblue"
"823","PGLYRP3","cyan"
"824","PGLYRP4","cyan"
"825","S100A9","blue"
"826","S100A12","blue"
"827","S100A8","blue"
"828","S100A7A","pink"
"829","S100A7L2","blue"
"830","S100A7","pink"
"831","S100A3","pink"
"832","CHTOP","grey60"
"833","NPR1","cyan"
"834","INTS3","grey60"
"835","GATAD2B","grey60"
"836","MIR6737","coral1"
"837","RAB13","grey60"
"838","NUP210L","pink"
"839","UBAP2L","grey60"
"840","SHE","blue"
"841","TDRD10","plum2"
"842","UBE2Q1","grey60"
"843","UBE2Q1-AS1","grey60"
"844","CHRNB2","grey60"
"845","ADAR","grey60"
"846","KCNN3","brown"
"847","MIR4258","antiquewhite4"
"848","TRIM46","grey60"
"849","CLK2","grey60"
"850","HCN3","grey60"
"851","PKLR","pink"
"852","ASH1L","brown"
"853","MIR555","grey60"
"854","POU5F1P4","brown"
"855","ASH1L-AS1","grey60"
"856","YY1AP1","grey60"
"857","GON4L","grey60"
"858","SYT11","steelblue"
"859","RIT1","brown"
"860","KIAA0907","grey60"
"861","SNORA80E","brown"
"862","BGLAP","pink"
"863","PAQR6","grey60"
"864","VHLL","antiquewhite4"
"865","RHBG","blue"
"866","C1orf61","blue"
"867","GPATCH4","brown"
"868","HAPLN2","blue"
"869","NES","antiquewhite4"
"870","CRABP2","cyan"
"871","PEAR1","pink"
"872","ARHGEF11","grey60"
"873","ETV3L","grey60"
"874","ETV3","grey60"
"875","CYCSP52","pink"
"876","FCRL4","steelblue"
"877","FCRL3","steelblue"
"878","FCRL2","skyblue"
"879","LOC646268","blue"
"880","CD1B","blue"
"881","OR10K1","blue"
"882","OR6Y1","blue"
"883","OR6K2","blue"
"884","OR6K3","blue"
"885","MNDA","blue"
"886","PYHIN1","pink"
"887","IFI16","brown"
"888","AIM2","blue"
"889","ACKR1","cyan"
"890","FCER1A","brown"
"891","OR10J3","blue"
"892","OR10J5","blue"
"893","APCS","blue"
"894","SLAMF8","cyan"
"895","SLAMF9","pink"
"896","LINC01133","brown"
"897","PIGM","brown"
"898","KCNJ9","pink"
"899","ATP1A4","blue"
"900","CASQ1","brown"
"901","DCAF8","grey60"
"902","COPA","brown"
"903","SUMO1P3","brown"
"904","NHLH1","thistle2"
"905","SLAMF6","steelblue"
"906","CD84","steelblue"
"907","SLAMF1","cyan"
"908","SLAMF7","cyan"
"909","LOC101928372","pink"
"910","FCER1G","blue"
"911","FCGR2A","blue"
"912","FCGR3A","blue"
"913","FCGR3B","blue"
"914","RPL31P11","brown"
"915","FCRLB","cyan"
"916","DUSP12","brown"
"917","ATF6","brown"
"918","OLFML2B","steelblue"
"919","MIR4654","cyan"
"920","MIR556","brown"
"921","C1orf111","grey60"
"922","C1orf226","grey60"
"923","SH2D1B","brown"
"924","UHMK1","grey60"
"925","UAP1","brown"
"926","DDR2","brown"
"927","HSD17B7","brown"
"928","C1orf110","grey60"
"929","RGS4","brown"
"930","RGS5","brown"
"931","PBX1","grey60"
"932","LOC100505795","brown"
"933","LOC400794","blue"
"934","LRRC52","blue"
"935","ALDH9A1","brown"
"936","LOC440700","pink"
"937","TMCO1","brown"
"938","LOC100147773","brown"
"939","FMO9P","brown"
"940","POGK","grey60"
"941","TADA1","brown"
"942","DUSP27","antiquewhite4"
"943","POU2F1","grey60"
"944","CREG1","brown"
"945","MPZL1","brown"
"946","DCAF6","brown"
"947","GPR161","grey60"
"948","TIPRL","brown"
"949","ANKRD36BP1","grey60"
"950","TBX19","brown"
"951","LOC100505918","coral1"
"952","DPT","antiquewhite4"
"953","LINC00626","pink"
"954","LINC00970","grey60"
"955","ATP1B1","grey60"
"956","NME7","brown"
"957","BLZF1","brown"
"958","SLC19A2","grey60"
"959","F5","blue"
"960","SELP","brown"
"961","SELL","blue"
"962","SELE","cyan"
"963","METTL18","brown"
"964","C1orf112","brown"
"965","SCYL3","brown"
"966","METTL11B","orangered3"
"967","LINC01142","blue"
"968","LOC101928650","grey60"
"969","GORAB","brown"
"970","PRRX1","brown"
"971","MIR1295A","brown"
"972","MIR1295B","brown"
"973","FMO2","brown"
"974","FMO4","brown"
"975","TOP1P1","grey60"
"976","PRRC2C","brown"
"977","MYOC","antiquewhite4"
"978","VAMP4","brown"
"979","DNM3","brown"
"980","DNM3OS","pink"
"981","MIR214","cyan"
"982","MIR3120","cyan"
"983","PIGC","brown"
"984","SUCO","brown"
"985","FASLG","steelblue"
"986","TNFSF18","steelblue"
"987","TNFSF4","grey60"
"988","LOC100506023","brown"
"989","LOC101928673","brown"
"990","SLC9C2","pink"
"991","LOC730159","brown"
"992","KLHL20","brown"
"993","CENPL","brown"
"994","DARS2","brown"
"995","GAS5-AS1","grey60"
"996","SNORD81","pink"
"997","SNORD47","grey60"
"998","SNORD80","brown"
"999","SNORD79","grey60"
"1000","SNORD78","grey60"
"1001","SNORD44","grey60"
"1002","SNORD77","brown"
"1003","SNORD76","grey60"
"1004","SNORD74","grey60"
"1005","ZBTB37","brown"
